UserNick,comment_time,content,auctionSku
太***4,2020-04-09 18:53:48,整体评价：还不错呦，东西蛮好的，第一次买李子柒家东西呀，不错呀，棒棒哒 胀包问题：没有呀，包装完好，不错不错 包装品质：包装美观，看着高大上，挺好 口感味道：味道有点改良了，但是也有正宗的口味，臭香臭香呀，主要是好吃好吃，哈哈哈 新鲜度：日期新鲜，不错呀。  哈哈哈，无限回购回购呢！  #入会柒家享好礼#,口味:螺蛳粉3袋装
秘***0,2020-04-10 13:33:19,＃柒家美拍达人＃当吃到李子柒家第一口螺狮粉的时候，只想说，漫长的等待是值得的😁米粉爽滑Q弹，配料很丰富，分量很足，尤其是腐竹，炸的脆脆的，特别香，汤底香醇浓郁，可以自己加面在里面，很好吃，汤也好喝。最主要的是，这是一碗不是很臭的螺狮粉，适合大众口味，不太能接受螺狮粉重口味的，刚好可以尝试柒家这款，香辣脆爽，吃过就会爱上它，自己也可以加点配菜，比如小龙虾，就像吃了一份小龙虾口味的螺狮粉，哈哈～,口味:螺蛳粉3袋装
m***3,2020-04-11 16:57:29,整体评价：不错 胀包问题：无 包装品质：好 口感味道：辣椒半包就够了，挺香的 新鲜度：可以 翘首以盼了一个多月，以前从来没想过为吃的可以等这么久，终于今天到货，赶上周末立刻就试吃，自己加点金针菇和青菜，出来一大锅，包装里食材包挺多，够一大一小吃了，辣椒包很辣，我算能吃辣的人放半包都辣出汗了，粉是很滑很弹，汤很有味道，酸笋和豆角并没有觉得很臭，整体适合初次品尝螺蛳粉的人，发了朋友圈后很多人都馋问，好不好吃，哈哈，谁想吃谁就先等40天,口味:螺蛳粉3袋装
爱***6,2020-04-10 17:52:28,#柒家美拍达人# 等待了好久的美食终于到了，可以说期待了很久，拿到后激动了很久，想着一定给柒家一个满满仪式感的视频，经常看李子柒的视频，真的是满满的羡慕，说说螺蛳粉，满满的料包，真是满满的满足感，腐竹拆开香味扑鼻而来，真是太美味了，辣椒包辣辣的，按个人口味添加，不过我爱吃辣，期待柒家在新品。奉上我精心制作的视频😂,口味:螺蛳粉3袋装
t***2,2020-04-11 18:39:50,3 月11 号下单，4月11 号收到的，哈哈哈哈 不愧是我等了一个月的螺蛳粉，好吃到爆炸！！黄先生从来不吃螺蛳粉，最后说好吃Si了哈哈哈。日期很新鲜，6 号的螺蛳粉，说明刚生产就马上发货啦！包装很耐斯，而且味道是真的好。看直播买的还有优惠。大家再等等吧！真的很值得。,口味:螺蛳粉3袋装
t***9,2020-04-08 16:36:42,"据说，螺蛳粉的臭味,是因酸笋，而螺蛳粉的汤,由螺丝肉和骨头熬成,此举使汤清甜与鲜美,后加浓郁后劲足的辣椒，八角，茴香、草果等等，最终熬成了一锅鲜红、令人欲罢不能的汤。可当我吃了李子柒家的螺丝粉，让我知道，螺狮粉就是人间的美味😍",口味:螺蛳粉3袋装
安***0,2020-04-05 17:23:13,整体评价：材料很足 胀包问题：没发现胀包问题 包装品质：包装严密 口感味道：酸辣，怕辣的朋友油包不要放那么多，几滴即可！粉条可以再煮多几分钟，会更软！配料很足，花生腐竹酸豆角都很多！ 新鲜度：日期很新鲜！,口味:螺蛳粉3袋装
柳***风,2020-04-08 11:55:58,太好吃了，这绝对是我吃过的最好吃的螺狮粉，复购了好多次，酸笋，木耳，酸豆角，腐竹，花生料都很足，米粉质量也是很好的那种，热汤和辣油一加，这个酸爽，让人直流口水，平时不爱吃辣的老公也被我吸引，一起来吃螺狮粉，太赞了，给柒柒100个星🌟,口味:螺蛳粉3袋装
1***聚,2020-04-13 11:19:25,在南宁柳州吃过螺蛳粉，深深的爱上了，然后一天无意中在淘宝看到了李子柒家的螺蛳粉，打开新纪元，忍不住一直吃吃吃。比米线酸辣粉朝鲜面好吃，量很足，吃的很撑，成功圈粉，日期特别新，会无限回购,口味:螺蛳粉3袋装
馨***i,2020-04-11 13:33:58,等了一个多月终于到货了，没白等这么长时间，味道超级赞，吃了那么多螺蛳粉还是李子柒家的最好吃，味道超级正宗，里面配料也很多非常新鲜，日期也很新鲜，包装颜值也很高，值得购买,口味:螺蛳粉3袋装
m***2,2020-04-10 12:24:06,疫情一来就是想吃好吃的东西，突然想到吃螺蛳粉，果断下单，等了一个月了总算收到货物了，还没打开，包装看起来就是料足，应该会很好，还是值得等待这么久到手的，等吃完了再想办法买，比较方便。,口味:螺蛳粉3袋装
流***4,2020-04-10 12:49:14,整体评价：买了好几次，都很不错！就是感觉量有点少。笋也少了！ 胀包问题：没胀包。到货没问题 包装品质：总体不错 口感味道：味道还是一如既往 新鲜度：蛮好吃的。吃这个上瘾，吃了有20袋了！钟爱螺狮粉！,口味:螺蛳粉3袋装
柴***s,2020-04-13 22:39:57,超级难买，味道超级棒，等待是值得的，配料充足，酱包，粉包，辣椒油，配菜，等等等，酸笋臭臭脆脆的，味道真的赞👍，为李子柒点赞，视频每期都看！还会再买,口味:螺蛳粉3袋装
