goods_name,shop_name,price,purchase_num,location
商用意大利面通心粉螺旋面粉30斤意面螺蛳粉,尚膳食品专营店,100.00,['27人付款'],山东 济南
预售 李子柒柳州螺蛳粉广西特产正宗螺丝粉方便面米线螺狮粉3袋,李子柒旗舰店,39.70,['65万+人付款'],浙江 嘉兴
嘻螺会柳州正宗螺蛳粉300gx5包广西特产螺狮粉酸辣螺丝粉速食米线,嘻螺会食品旗舰店,49.90,['9.5万+人付款'],广西 柳州
螺霸王螺蛳粉280g*10包装礼盒正宗广西柳州螺狮粉特产螺丝粉整箱,丝皇食品专营店,115.00,['2059人付款'],广西 柳州
预售李子柒柳州螺蛳粉广西特产正宗螺丝粉方便面速食米线11袋礼盒,李子柒旗舰店,139.00,['5500+人付款'],浙江 嘉兴
【礼盒款】好欢螺螺蛳粉柳州螺狮粉速食方便面米线300g10袋酸辣粉,好欢螺旗舰店,129.00,['2.5万+人付款'],广西 柳州
【礼盒装】好欢螺螺蛳粉柳州速食螺狮粉酸辣粉方便面米线400g10袋,好欢螺旗舰店,149.00,['1.0万+人付款'],广西 柳州
螺霸王螺蛳粉280G*6包礼盒装整箱 正宗广西柳州螺狮粉酸辣螺丝粉,丝皇食品专营店,69.90,['2613人付款'],广西 柳州
柳江人家柳州螺蛳粉350g*10袋礼盒装广西柳州特产特色螺丝粉,天猫超市,129.00,['1413人付款'],上海
柳江人家螺蛳粉350g*5袋螺丝粉广西柳州正宗特产速食酸辣螺狮粉,天猫超市,64.50,['608人付款'],上海
柳江人家螺蛳粉350g*3袋广西正宗特产特色速食即食酸辣螺狮粉,天猫超市,38.70,['2.5万+人付款'],上海
柳江人家柳州螺蛳粉350g*4袋螺狮粉广西正宗特产速食酸辣螺丝粉,天猫超市,51.60,['1.5万+人付款'],上海
柳全柳州螺蛳粉268g*3袋装正宗广西特产米粉速食米线酸辣粉丝现货,天猫超市,48.00,['3515人付款'],上海
螺霸王水煮螺蛳粉280G*10包装礼盒广西柳州特产螺狮粉原味整箱,螺霸王食品旗舰店,115.00,['4273人付款'],广西 柳州
螺霸王水煮螺蛳粉280G*3原味柳州螺狮粉螺丝酸辣粉方便面速食,螺霸王食品旗舰店,37.50,['6.5万+人付款'],广西 柳州
柳江人家柳州螺蛳粉330g克*5袋礼盒装广西螺丝粉特产方便螺狮粉,柳江人家旗舰店,64.80,['473人付款'],广西 柳州
青云街螺久香正宗柳州螺蛳粉整箱10包装广西特产螺狮粉酸辣螺丝粉,青云街旗舰店,69.70,['1.5万+人付款'],广西 柳州
8斤包邮春丝江西米粉米线粉丝2kg*2螺蛳粉绿色食品炒粉汤粉都可做,春丝旗舰店,39.80,['1.0万+人付款'],江西 宜春
柳州正宗螺蛳粉包邮广西特产螺丝粉柳柳螺狮粉6袋速食米线酸辣粉,柳柳食品旗舰店,39.90,['10万+人付款'],广西 柳州
【新版加辣加臭加腐竹】好欢螺螺蛳粉400g*10袋加量装柳州螺丝粉,好欢螺吖咪屋专卖店,134.10,['874人付款'],广西 柳州
董阿姨广西柳州正宗特产螺蛳粉320g*10袋劲辣款螺狮粉螺丝粉米粉,董阿姨旗舰店,65.80,['7000+人付款'],广西 柳州
abd螺蛳粉正宗柳州特产 螺狮粉螺丝粉方便面酸辣粉泡面整箱包邮,abd食品旗舰店,44.80,['9500+人付款'],广西 柳州
只投螺碗螺蛳粉柳州正宗包邮螺丝粉320g*5袋螺狮粉酸辣粉方便面条,只投螺碗旗舰店,39.90,['10万+人付款'],广西 柳州
柳江人家广西柳州螺蛳粉330g*10包礼盒装螺狮粉方便面速食,柳江人家旗舰店,138.00,['536人付款'],广西 柳州
卷味螺蛳粉速食柳州特产网红螺狮粉酸辣方便面螺丝粉300g*9碗礼盒,卷味食品旗舰店,160.00,['2936人付款'],广西 柳州
螺状元柳州螺蛳粉特产美食方便面速食螺狮粉米线广西螺丝粉,螺状元旗舰店,65.00,['8.0万+人付款'],广西 柳州
【升级版】好欢螺螺蛳粉400克加辣加臭版*3包欢乐螺狮粉正宗包邮,广西浩丰食品专营店,44.70,['1.5万+人付款'],广西 柳州
螺记忆柳州螺蛳粉广西特产正宗螺狮粉螺丝粉300g*10袋礼盒装包邮,螺记忆旗舰店,59.00,['2.0万+人付款'],广西 柳州
